name|address|sector
Lpse Provinsi Jawa Timur|Jalan Rajawali 660176 Kota Surabaya|Administration - Government & Senate
Dinas Perkebunan Provinsi Jawa Barat|Jalan Surapati 6740133 Kota Bandung|Administration - Government & Senate
Industri Logam|Jl. Raya Trosobo Taman Sidoarjo 2061257 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Kota Klungkung|Jalan Untung Surapati 280711 Klaten  - Kabupaten|Administration - Government & Senate
Dinas Kebudayaan Dan Pariwisata Kota Bandung|Jalan Jenderal Ahmad Yani 27740281 Kota Bandung|Administration - Government & Senate
Dinas Pendidikan, Pemuda Dan Olahraga Kebumen|Jalan Pahlawan 17554311 Klaten  - Kabupaten|Administration - Government & Senate
Badan Siber Dan Sandi Negara|Jalan Raya Muchtar 7016519 Depok|Administration - Government & Senate
Dinas Perhubungan DKI Jakarta|Jl. Taman Jatibaru 110150|Administration - Government & Senate
Pemerintah Kabupaten Sidoarjo|Jl. Gubernur Suryo 161211 Klaten  - Kabupaten|Administration - Government & Senate
Bbpom Bandung|Jalan Pasteur 2540171 Kota Bandung|Administration - Government & Senate
Badan Narkotika Nasional (National Narcotics Board)|Gedung BNN 1113630 Jakarta|Administration - Government & Senate
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kalimantan Barat|Jalan Ahmad Yani 678122 Kota Pontianak|Administration - Government & Senate
Pemerintah Kota Tangerang|Jalan Satria - Sudirman 115111 Kota Tangerang|Administration - Government & Senate
Badan Narkotika Nasional (National Narcotics Board)|Jl. MT. Haryono 11 Jakarta|Administration - Government & Senate
Dinas Komunikasi & Informatika Provinsi Jawa Barat|Jalan Taman Sakura 5540222 Kota Bandung|Administration - Government & Senate
Bifza|Bifza Building 129400 Riau Islands|Administration - Government & Senate
Kantor Dinas Pekerjaan Umum Dan Penataan Ruang Provinsi Kalimantan Barat|Jalan Ahmad Yani 25278122 Kota Pontianak|Administration - Government & Senate
Pemerintah Walikota Bandung|Jalan Wastukencana 240117 Kota Bandung|Administration - Government & Senate
Bpkpbpb Batam|Jl. Sudirman. 129400 Riau Islands|Administration - Government & Senate
BUMDes Mitra Sejahtera|Jl. Bukit Pakar Timur 40198 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Provinsi Kalimantan Tengah|Jl. 173000 Palangkaraya  - Palangka|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kantor Dinas Pekerjaan Umum Dan Penataan Ruang Provinsi Kalimantan Tengah|Jalan S Parman 373111 Palangkaraya  - Palangka|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Dinas Perhubungan Provinsi DKI Jakarta|Jalan Taman Jatibaru 111430 Jakarta|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Pemerintah Kabupaten Kupang|Jl. Ir. Sukarno 1885511 Kabupaten Timor Tengah Selatan|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Pemkab Badung|Jalan Pemerintahan Kabupaten Badung 80351 Klaten  - Kabupaten|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Dinas Pendidikan Kabupaten Bogor|Jl. Nyaman 116914 Klaten  - Kabupaten|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Dewan Perwakilan Rakyat Daerah Kota Malang|Jalan Teluk Grajakan 165126 Kota Malang|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Badan Kependudukan Catatan Sipil Dan Keluarga Berencana Kab Bekasi|Kompleks Perkantoran Pemerintahan Sukamahi Cikarang Pusat Bekasi  Kota Bekasi|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Garuda Sukses Mandiri Indonesia|Jl. Sentral Bisnis Rsa1 55 Kota Bekasi|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Ditjen Migas|Plaza Centris 12910 Jakarta|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Pemerintah Kabupaten Badung|Jalan Sempidi 80351 Klaten  - Kabupaten|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kantor Dinas Energi Sumber Daya Mineral Provinsi Jawa Timur|Jalan Tidar 12360251 Kota Surabaya|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Dinas Sosial Provinsi Jawa Barat|Jalan Cibadak 33140241 Kota Bandung|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kantor Dinas Kependudukan Provinsi Kalimantan Tengah|Jl. 173111 Palangkaraya  - Palangka|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Bin|Jalan Sekolah Seni 110350 Jakarta|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kantor Dinas Perindustrian Dan Perdagangan Prop.Sumatera Selatan|Jalan Demang Lebar Daun 261030132 Kota Palembang|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kantor Bupati Kendal|Jalan Soekarno - Hatta 19351313 Klaten  - Kabupaten|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Ppo (P2O)-Lipi|Jalan Pasir Putih Raya 114430 Jakarta|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kementerian Koordinator Bidang Pembangunan Manusia Dan Kebudayaan|Jalan Medan Merdeka Barat 310150 Jakarta|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Kantor Perwakilan Bpkp Propinsi Kalimantan Timur|Jalan Mayor Jenderal MT Haryono 75124 Kota Samarinda|Regional, Departmental And Local AdministrationAdministration - Government & Senate
Emnindo Jaya Abadi|Jl. Letnan Sutopo Paris Square 1915322 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Provinsi Kepulauan Riau|Pusat Pemerintahan Provinsi Kepri 29100 Kota Tanjung Pinang|Administration - Government & Senate
Lpse Kota Ternate|Jalan Yos Sudarso 97715 Ternate|Administration - Government & Senate
Kementerian Pertahanan Republik Indonesia|Jalan Medan Merdeka Barat 1310150 Jakarta|Administration - Government & Senate
Surveyor Indonesia|Jl. Kerapu 228711 Riau Islands|Administration - Government & Senate
Pemerintah Kabupaten Sragen|Jalan Sukowati 25557274 Sragen|Administration - Government & Senate
Badan Koordinasi Keluarga Berencana Nasional|Jalan Permata Bawah 110210 Jakarta|Administration - Government & Senate
Semai Sinergi Utama|Jalan Pasir Kaliki 14340181 Kota Bandung|Administration - Government & Senate
Pemerintah Daerah Kabupaten Kebumen|Jl. Merdeka 254311 Klaten  - Kabupaten|Administration - Government & Senate
Perum Bulog Indonesia|Jalan Cut Nyak Dien 2428115 Kota Pekanbaru|Administration - Government & Senate
Pemerintah Kabupaten Sragen|Jalan Sukowati 25557211 Klaten  - Kabupaten|Administration - Government & Senate
Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak|Jalan Medan Merdeka Barat 1510150 Jakarta|Administration - Government & Senate
Pemerintah Kota Tangerang Selatan|Jalan Maruga 115418 Kota Tangerang Selatan|Administration - Government & Senate
Kantor Bupati Purworejo|Jalan Proklamasi 254111 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Kota Malang|Jalan Teluk Grajakan 165126 Kota Malang|Administration - Government & Senate
Diskominfo Makassar|Jl. A. P. Pettarani 6290232 Jakarta Timur  - Makasar|Administration - Government & Senate
Dinas Tata Air Provinsi DKI Jakarta|Dinas Teknis Jatibaru Lt. 110150 Jakarta|Administration - Government & Senate
Sekretariat Kabinet RI|Jalan Veteran 1810110 Jakarta|Administration - Government & Senate
Bbpom Di Banjarmasin|Jl. Brigjend. H. Hasan Basri 4070124 Kota Banjarmasin|Administration - Government & Senate
Lpse Kabupaten Luwu Utara|Jl. Simpurusiang 2792961 Kabupaten Luwu Utara|Administration - Government & Senate
Pelayaran Nasional Indonesia (Persero)|Jl. D.I. Panjaitan Sirimau 1997124 Ambon|Administration - Government & Senate
P B V s I|Jl. Raya Pasar Minggu  Jakarta|Administration - Government & Senate
Indonesian Association Of Oceanologiests|Jalan Pasir Putih Raya 114430 Jakarta|Administration - Government & Senate
Dinas Kesehatan Kabupaten Kuantan Singingi|Jl. Komplek Perkantoran Pemda Kuansing  Kuantan Sengingi|Administration - Government & Senate
Kantor Kominfo Kota Bogor|Jalan Insinyur Haji Juanda 1016133 Kota Bogor|Administration - Government & Senate
Kantor Dinas Pendapatan Prop.Sumatera Utara|Jalan Sisingamangaraja 520147 Tunjungan  - Sitirejo|Administration - Government & Senate
Pemerintah Kabupaten Gunungkidul|Jl. Brigjen Katamso 155131 Gunung Kidul|Administration - Government & Senate
Ratu Samban Mining|Jalan Putri Gading Cempaka 26092 Kota Bengkulu|Administration - Government & Senate
Kantor Dinas Kesehatan Provinsi Nusa Tenggara Timur|Jalan Palapa 2285111 Kota Kupang|Administration - Government & Senate
Dinas Transmigrasi Dan Kependudukan Lahat|Jl. Kolonel Bandar Jaya  Kota Bandung|Administration - Government & Senate
Dinas Pariwisata Makassar|Jalan Jenderal Urip Sumoharjo 5812840 Jakarta Timur  - Makasar|Administration - Government & Senate
Sekretariat Daerah Pemerintah Provinsi DKI Jakarta|Balaikota 810110 Jakarta|Administration - Government & Senate
Pemerintah Provinsi Jawa Tengah|Jalan Pahlawan 950242 Kota Semarang|Administration - Government & Senate
Kantor Dinas Pendapatan Daerah Kabupaten Badung|Mandala Unit 80361 Klaten  - Kabupaten|Administration - Government & Senate
Lpse Kota Kediri|Jalan Basuki Rahmat 1564121 Kota Kediri|Administration - Government & Senate
Kantor Dinas Peternakan Perikanan Dan Kelautan Provinsi DKI Jakarta|Jalan Gunung Sahari Raya 110110 Jakarta|Administration - Government & Senate
Bapesitelda|Jalan Taman Sakura 5540221 Kota Bandung|Administration - Government & Senate
Kantor Dinas Kehutanan Propinsi Jawa Tengah|Jalan Menteri Supeno 150241 Kota Semarang|Administration - Government & Senate
Sumut Smart Province|Jl. H. Muhammad Said 2720235 Medan Perjuangan|Administration - Government & Senate
Dinas Peternakan Dan Kesehatan Hewan Provinsi Bali|Jl. Wr. Supratman 7180253 Dompu  - Bali|Administration - Government & Senate
Kantor Dinas Tata Ruang Dan Permukiman Provinsi Sulawesi Selatan|Jl. A. P Pettarani 9090222 Jakarta Timur  - Makasar|Government AgenciesAdministration - Government & Senate
Kantor Dinas Koperasi Dan Usaha Kecil Menengah Prop. Riau|Jalan Pepaya 6728126 Kota Pekanbaru|Government AgenciesAdministration - Government & Senate
Provincial Health Office. NTT|Jalan Palapa 2285111 Kota Kupang|Government AgenciesAdministration - Government & Senate
Dinas Perindustrian Dan Energi|Jalan Taman Jatibaru 111430 Jakarta|Government AgenciesAdministration - Government & Senate
Rumah Sakit Umum Saras Husada|Jalan Jenderal Sudirman 6054114 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Kantor Dinasenergi Dan Sumber Daya Mineral Provinsi Kalimantan Barat|Jalan Letnan Jenderal Sutoyo 778121 Kota Pontianak|Government AgenciesAdministration - Government & Senate
