name;address;sector
Ken Tanzah Makmur;Jalan Soekarno Hatta 2950552 Kota Semarang;Hospitals
Rumah Sakit Hermina Grand Wisata;Jl. Festival Boulevard 17111 Kota Bekasi;Hospitals
Apotek Kimia Farma;Jalan Perak Timur 16660164 Kota Surabaya;Hospitals
RS Awal Bros Makassar;Jalan Jenderal Urip Sumoharjo 4312840 Jakarta Timur  - Makasar;Hospitals
Sido Muncul Store;Jalan Cipete Raya 8112410 Jakarta;Hospitals
Medikaloka Pandanaran;Jalan Pandanaran 2450241 Kota Semarang;Hospitals
Langsung Makmur Sentosa;Jalan Cimanuk 640115 Kota Bandung;Hospitals
Rumah Sakit Dr Etty Asharto;Jalan Sajid 4465311 Kota Batu;Hospitals
Jclec;Jalan Bell 150148 Kota Semarang;Hospitals
PT. Mandaya Sehat Utama;Jalan Pos Pengumben 5012260 Jakarta Barat;Hospitals
Alkin Global;Jalan Pasteur 1540131 Kota Bandung;Hospitals
Rumah Sakit Khusus Mata Medan Baru Medical Centre;Jalan Abdullah Lubis 6720154 Medan Baru  - Darat;Hospitals
Klinik Kimia Farma 82;Jalan Kartini 6757423 Klaten  - Kabupaten;Hospitals
Kimia Farma 49 Apotek;Jalan Pahlawan Revolusi 5313430 Jakarta;Hospitals
Apotek Kimia Farma;Jl. Godean 557473 Klaten  - Kabupaten;Hospitals
Klinik Kimia Farma 78;Jl. A. Yani 3115142 Klaten  - Kabupaten;Hospitals
Apotek Kimia Farma;Jl. G. Sanghyang 2380232 Dompu  - Bali;Hospitals
PD. Trivia Oktana Mandiri;Jalan Diponegoro 10642151 Kasemen  - Banten;Hospitals
Alfa Kimia Biomedikatama;Jalan C Simanjuntak GK 5 1255223 Kota Yogyakarta;Hospitals
Millennium Pharmacon International;Jalan Pamularsih 10750141 Kota Semarang;Hospitals
PT Wira Sandi;Jalan Kesehatan 1613740 Jakarta Timur;Social Security
Infomedia Nusantara;28 Jalan Mampang Prapatan Raya12790 Jakarta;Social Security
International Wellbeing Center;The City Walk 312160 Dharmawangsa Square;Social Security
PT CENTURY FRANCHISINDO UTAMA;Jalan Limo 612220 Jakarta Selatan;Social Security
UD Shasa Scale;Jl. Raya Kosambi Barat 2315213 Tangerang;Social Security
RSUP Dr. Sitanala Tangerang;Jalan Doktor Sitanala 9915112 Kota Tangerang;Social Security
Klinik Kimia Farma Bintaro;Jalan Bima 3557416 Klaten  - Kabupaten;Social Security
Maspion;Jalan Kembang Jepun 3860162 Kota Surabaya;Social Security
Dr. Yanti Aesthetic Clinic;Jalan Boulevard Barat 14240 Jakarta;Social Security
