name;address;sector
Sido Muncul Store;Jalan Cipete Raya 8112410 Jakarta;Herbalist (Retail)
Dharmajaya Dinamika Mandiri;Jalan Dokter Sutomo 13410110 Sawah Besar  - Pasar Baru;Herbalist (Retail)
Mitera Sejatra Jaya Agung;Jl. Terusan Kopo 1240111 Kota Bandung;Herbalist (Retail)
Tirta Asri;A 24 Jl. Karah Indah 2460232 Kota Surabaya;Herbalist (Retail)
Natura Perisa Aroma;Jalan Insinyur Sutami 935122 Kota Bandar Lampung;Herbalist (Retail)
HERBAL ONLINE SURABAYA;Jalan Dukuh Gemol 1 160229 Surabaya;Herbalist (Retail)
Industri Jamu Borobudur;Jalan Tomang Tinggi 1111440 Jakarta;Herbalist (Retail)
Agen Nasa Jakal;Candi Karang  Klaten  - Kabupaten;Herbalist (Retail)
Mahkota Dewa Indonesia;Jalan Gaharu 14230 Jakarta;Herbalist (Retail)
Agaricus Sido Makmur Sentosa;Jl. Inspektur Polisi Soewoto 665118 Klaten  - Kabupaten;Herbalist (Retail)
Industri Jamu Dan Farmasi Sido Muncul;Jalan Soekarno Hatta 2850196 Kota Semarang;Herbalist (Retail)
Pandu Toko;Jalan Jenderal Sudirman 2340241 Kota Bandung;Herbalist (Retail)
Karya Pak Oles Tokcer;X -38 X Jl. Pulau Komodo 3280111 Dompu  - Bali;Herbalist (Retail)
Okebos Bangun Indonesia;Jalan Way Pangubuan 22 Kota Metro;Herbalist (Retail)
Liza Herbal International;Jalan Arzimar 3 4316144 Kota Bogor;Herbalist (Retail)
Sentra Karya Mandiri;Jalan Jenderal Ahmad Yani 42124 Kasemen  - Banten;Herbalist (Retail)
Agita Digital Technology;Jalan Bumi Laras Selatan 170654 Klaten  - Kabupaten;Herbalist (Retail)
Perdana Jaya;Jl. Jaksa Agung Suprapto 16362111 Klaten  - Kabupaten;Herbalist (Retail)
Green Link Indoraya;Perum Puri Cempaka Putih I / BB-11 1165123 Kota Malang;Herbalist (Retail)
Muncul Mekar;A28 Jl. Madukuro 50111 Kota Semarang;Herbalist (Retail)
Dadi Maju;Jalan Doktor Suratmo 7650148 Klaten  - Kabupaten;Herbalist (Retail)
3M Indonesia;Perkantoran Hijau Arkadia Tower F 12520 Jakarta;Herbalist (Retail)
Service Center DXN Bekasi;Komplek Bintara Jaya Permai 13450 Kota Bekasi;Herbalist (Retail)
Ruslindo Anugrah Alam Sejahtera;Jalan Kedoya Raya 3011520 Jakarta;Herbalist (Retail)
Djamoekoe;Jl. Sunset Road Lingkungan Abian Base  Klaten  - Kabupaten;Herbalist (Retail)
PT. SINKONA INDONESIA LESTARI;Jalan Raya Ciater 1741281 Subang;Herbalist (Retail)
Jamu Iboe Jaya;Jl. Raya Trosobo 2061257 Klaten  - Kabupaten;Herbalist (Retail)
Iboe Jaya Toko;Jalan Ngaglik 360273 Kota Surabaya;Herbalist (Retail)
Mediabetea;Jl. Kapuk Kamal 11730 Jakarta;Herbalist (Retail)
Pil Kita;Jl. A. Yani Slawi 15752412 Kota Tegal;Herbalist (Retail)
Magalarva;Perkantoran Tiara Buncit 912760 Jakarta;Herbalist (Retail)
Golden Coral Corporindo;Jalan Raya Sepatan 815520 Kasemen  - Banten;Herbalist (Retail)
Alami Herbal Surabaya;Jalan Dukuh Gang 5 160223 Surabaya;Herbalist (Retail)
Tirta Sarana Sukses;A-24 Jl. Karah Indah 60232 Kota Surabaya;Herbalist (Retail)
Savana Tirta Makmur;Jalan Kakap 8950176 Kota Semarang;Herbalist (Retail)
Perusahaan Jamu Sari Wangi;Jalan Balige 4820211 Obi Timur  - Sum;Herbalist (Retail)
