name;address;sector
RS Awal Bros Makassar;Jalan Jenderal Urip Sumoharjo 4312840 Jakarta Timur  - Makasar;Hospitals
Medikaloka Pandanaran;Jalan Pandanaran 2450241 Kota Semarang;Hospitals
Ken Tanzah Makmur;Jalan Soekarno Hatta 2950552 Kota Semarang;Hospitals
Rumah Sakit Khusus Mata Medan Baru Medical Centre;Jalan Abdullah Lubis 6720154 Medan Baru  - Darat;Hospitals
Rumah Sakit Dr Etty Asharto;Jalan Sajid 4465311 Kota Batu;Hospitals
PT. Mandaya Sehat Utama;Jalan Pos Pengumben 5012260 Jakarta Barat;Hospitals
Rumah Sakit Hermina Grand Wisata;Jl. Festival Boulevard 17111 Kota Bekasi;Hospitals
RSUP Dr. Sitanala Tangerang;Jalan Doktor Sitanala 9915112 Kota Tangerang;Hospitals
RS Pondok Indah - Bintaro Jaya;RS Pondok Indah Bintaro Jaya 15227 Kasemen  - Banten;Hospitals
Lucky Dion Perkasa;Jalan Sirsak 2112620 Jakarta;Hospitals
Aryamedika Teguh Tunggal;Jalan Kelapa Dua Raya 100115810 Kota Tangerang;Hospitals
Wellbe Indonesia;South Quarter Tower B 12430 Jakarta;Hospitals
Rumah Sakit Charitas Hospital Kenten;Jalan Betawi Raya 134030161 Kota Palembang;Hospitals
Lab Kimia Farma Pamulang;D-2 / 1 Jl. Pamulang Permai Raya 115210 Klaten  - Kabupaten;Hospitals
Melinda Hospital;Jalan Pajajaran 4640171 Cicendo  - Pasirkaliki;Hospitals
Klinik Central Medika;Jl. Pilar Sukatani 8417145 Klaten  - Kabupaten;Hospitals
Medika Kartini Mandiri;Jalan Ciledug Raya 9412230 Jakarta;Hospitals
Ciputra Hospital Citragarden;Jl. Boulevard Citra 511830 Jakarta;Hospitals
Rumah Sakit Ketergantungan Obat;Jalan Lapangan Tembak 7513720 Jakarta;Hospitals
Rumah Sakit Ibu & Anak Kendangsari;Jalan Kendangsari 8 3860292 Kota Surabaya;Hospitals
Rumah Sakit Umum Daerah Dr M Ashari;Jalan Gatot Subroto 4152319 Klaten  - Kabupaten;Hospitals
Melinda Hospital;Jalan Pajajaran 4640171 Kota Bandung;Hospitals
Syuhada Haji;Jalan Raya Tanjung 1257472 Klaten  - Kabupaten;Hospitals
RS PKU Muhammadiyah Karanganyar;Jalan Pepaya 57423 Klaten  - Kabupaten;Hospitals
Quantum Sarana Medik;Jalan Raya Sesetan 2080223 Dompu  - Bali;Hospitals
RS Primaya Bekasi Barat;Jalan Kyai Haji Noer Ali 17146 Kota Bekasi;Hospitals
RSUP Dr Sardjito;Jl. Kesehatan Sekip 155243 Klaten  - Kabupaten;Hospitals
RS Dr. Oen Solo Baru;Perumahan Solo Baru Sukoharjo Po.Box 13057552 Klaten  - Kabupaten;Hospitals
Rumah Sakit Permata Medika;Jl. Moch. Ichsan 9350151 Kota Semarang;Hospitals
Rumah Sakit Muhammadiyah;Jalan Kyai Haji Ahmad Dahlan 5340262 Kota Bandung;Hospitals
Rumah Sakit Grestelina;Jl. Hestarning Raya 5190231 Jakarta Timur  - Makasar;Hospitals
