name;address;sector
Apotek Kimia Farma;Jl. Godean 557473 Klaten  - Kabupaten;Chemists
Sido Muncul Store;Jalan Cipete Raya 8112410 Jakarta;Chemists
Apotek Kimia Farma;Jl. G. Sanghyang 2380232 Dompu  - Bali;Chemists
Apotek Kimia Farma;Jalan Perak Timur 16660164 Kota Surabaya;Chemists
PD. Trivia Oktana Mandiri;Jalan Diponegoro 10642151 Kasemen  - Banten;Chemists
Millennium Pharmacon International;Jalan Pamularsih 10750141 Kota Semarang;Chemists
Alkin Global;Jalan Pasteur 1540131 Kota Bandung;Chemists
Alfa Kimia Biomedikatama;Jalan C Simanjuntak GK 5 1255223 Kota Yogyakarta;Chemists
Kimia Farma 49 Apotek;Jalan Pahlawan Revolusi 5313430 Jakarta;Chemists
Klinik Kimia Farma 78;Jl. A. Yani 3115142 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 82;Jalan Kartini 6757423 Klaten  - Kabupaten;Chemists
UD Shasa Scale;Jl. Raya Kosambi Barat 2315213 Tangerang;Chemists
Apotek Kimia Farma Cibitung Bosih;Jalan Bosih 817520 Cibitung;Chemists
Apotek Kimia Farma395;Jalan Melur 428156 Kota Pekanbaru;Chemists
Apotek Kimia Farma 377;Jalan Cimanuk 1144111 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma 336;Jalan Pangeran Antasari 9170241 Manis Mata  - Kalimantan;Chemists
Apotek Kimia Farma 167;Jalan Tank 51540526 Kota Cimahi;Chemists
Klinik Kimia Farma Bintaro;Jalan Bima 3557416 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 309;Jalan Lumimuut 1495113 Kota Manado;Chemists
Kimia Farma 152 Apotek;E-F Jl. Raya Pasar Minggu 312780 Jakarta;Chemists
Kimia Farma Apotek;Jalan Pangeran Mohammad Noor 75119 Kota Samarinda;Chemists
Kimia Farma Condong Catur;Jl. Nusa Indah 55221 Kota Yogyakarta;Chemists
Apotek Kimia Farma 416;Jalan Sultan Agung 6255151 Kota Yogyakarta;Chemists
Apotek Kimia Farma 504;Jalan Simo 2857432 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 38;Jalan Hasan 4613940 Jakarta Timur  - Makasar;Chemists
Apotek Kimia Farma 131;Jalan Raden Ajeng Kartini 4435111 Kota Bandar Lampung;Chemists
Klinik Kimia Farma Blitar;Jalan Mawar 6457431 Klaten  - Kabupaten;Chemists
Gunung Sahari Group;A3 Jl. Gunung Sahari Raya 5110610 Jakarta;Chemists
Apotek Kimia Farma Pondok Benda;Jl. Raya Pamulang 215417 Kasemen  - Banten;Chemists
Apotek Kimia Farma 406;Jalan Magelang 8055231 Kota Yogyakarta;Chemists
Klinik Kimia Farma 111;Jl. Jend. A. Yani Timur 1070724 Kota Banjarbaru;Chemists
Apotek Kimia Farma 260;Jalan Jenderal DI Panjaitan 4750249 Central Java;Chemists
Apotek Kimia Farma Sultan Alaudin;Jl. Sultan Alaudin 22290245 Jakarta Timur  - Makasar;Chemists
Gratia Jaya Mulya;Gratia Building 1015339 Kota Tangerang Selatan;Chemists
Kimia Farma 107 Apotek;Jl. Gatot Subroto 7220211 Obi Timur  - Sum;Chemists
Apotek Kimia Farma 94;Jl. Proklamasi 4425119 Kota Padang;Chemists
Viva Health;Sampoerna Strategic Square 12930 Jakarta;Chemists
Klinik Kimia Farma 250;Jl. Ratulangi 5990174 Jakarta Timur  - Makasar;Chemists
Apotek Kimia Farma511;A30 Jl. Klampis Jaya 60241 Kota Surabaya;Chemists
Apotek Kimia Farma Alam Sutera;Jl. Jalur Sutra 315325 Kasemen  - Banten;Chemists
Klinik Kimia Farma 236;Jl. Danau Batur Raya 80353 Klaten  - Kabupaten;Pharmaceutical LaboratoriesChemists
PT.Multidaya Medika;Kompleks Rukan Niaga Gunung Sahari 710720 Jakarta;Pharmaceutical LaboratoriesChemists
