name;address;sector
Ion Exchange Asia Pacific;Jababeka 417530 Kota Bekasi;Building CompaniesMedical Biology Analystical Laboratories
Laboratorium Klinik Bio Prima;Jl. Jimbaran Blk B Lb1 1111840 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
Rina Indonesia;Building 4610160 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
CCIC Jakarta;Jalan Perancis 6815125 Kasemen  - Banten;Building CompaniesMedical Biology Analystical Laboratories
SGS Indonesia;Jl. Kamal Muara Vii 2814470 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
Mutuagung Lestari;Jalan Teuku Umar 1875126 Kota Samarinda;Building CompaniesMedical Biology Analystical Laboratories
Enigma Saintia Solusindo;Jalan Jalur Sutera Ruko De Mansion 15143 Kota Tangerang;Building CompaniesMedical Biology Analystical Laboratories
Global Mandiri Instrumentasi;Jl. Raya Cibarusah 17520 Klaten  - Kabupaten;Building CompaniesMedical Biology Analystical Laboratories
Kazi Coal Mine;Jl. MT. Haryono Perum Rawa Sari 375124 Kota Samarinda;Building CompaniesMedical Biology Analystical Laboratories
Sertifikasi Raharja Indonesia;Gedung Bsg 4010160 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
Certus Metrology Indonesia;Jl. RS. Fatmawati 3912150 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
Peterson Mitra Indonesia;Jalan Jenderal Sudirman 76114 Balikpapan;Building CompaniesMedical Biology Analystical Laboratories
Relion Sterilization Services;Jl. Ganda Mekar 2417520 Klaten  - Kabupaten;Building CompaniesMedical Biology Analystical Laboratories
Rel-Ion Sterilization Services;Kawasan Industri Ganda Mekar 17520 Klaten  - Kabupaten;Building CompaniesMedical Biology Analystical Laboratories
TSV International Indonesia;Graha Pena 29461 Riau;Building CompaniesMedical Biology Analystical Laboratories
Maci Citra Mandiri;Komplek Metro Cilegon 1042412 Kota Cilegon;Building CompaniesMedical Biology Analystical Laboratories
TUV Sud Indonesia;Dipo Tower 10260 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
Sumber Hijau Utama;Jalan Palembang 10210 Jakarta;Building CompaniesMedical Biology Analystical Laboratories
Cita Mulia;Jalan Kaliurang 655582 Klaten  - Kabupaten;Building CompaniesMedical Biology Analystical Laboratories
Laboratorium Uji Polimer;Jalan Gedung 8 40172 Kota Bandung;Building CompaniesMedical Biology Analystical Laboratories
Warungssl Indonesia;Epicentrum Walk 12940 Jakarta;Medical Biology Analystical Laboratories
Pegawai Negeri Aneka Usaha;Jalan Ketintang Baru 2 160231 Kota Surabaya;Medical Biology Analystical Laboratories
LSPro Igs;Jalan Tekno Widya 15311 Kota Tangerang Selatan;Medical Biology Analystical Laboratories
Menara Kalibrasi Pratama;Jalan Terusan Sutera Timur 715143 Kota Tangerang;Medical Biology Analystical Laboratories
Penerimaan UKK Cmpfa Ftui;Mrc 2Nd Floor 216424 Depok;Medical Biology Analystical Laboratories
Nusa Pusaka Kencana;Jl. Sei Bahilang 20600 Kabupaten Deli Serdang;Medical Biology Analystical Laboratories
Pfce Indonesia;Menara Jamsostek 12710 Jakarta;Medical Biology Analystical Laboratories
TUV International Indonesia;Wisma CIMB Niaga 240262 Kota Bandung;Medical Biology Analystical Laboratories
URS;Graha Kencana 8811530 Jakarta;Medical Biology Analystical Laboratories
Lysa Global Indonesia;Graha Grande 16164 Kota Bogor;Medical Biology Analystical Laboratories
Iasmi;Jalan Joglo Raya 4811640 Jakarta;Medical Biology Analystical Laboratories
Bspji Padang;Jalan Lintas Curup - Lebong 2339112 Kota Padang;Medical Biology Analystical Laboratories
Pindad (Persero) - Departemen Laboratorium;Jalan Jenderal Gatot Subroto 51740284 Kota Bandung;Medical Biology Analystical Laboratories
Global Sentra Inovasi;Komp. Costa Rica Niaga 29464 Riau Islands;Medical Biology Analystical Laboratories
Tata Bina Mandiri;Perumahan Grand Taruma 41361 Klaten  - Kabupaten;Medical Biology Analystical Laboratories
PLN Litbang;Jalan Duren Tiga Raya 12760 Jakarta;Medical Biology Analystical Laboratories
Indovest Global Pratama;Sahid Sudirman Center 10220 Jakarta;Medical Biology Analystical Laboratories
Depriwangga;DW Building 112170 Jakarta;Medical Biology Analystical Laboratories
Mutu Agung Lestari;Jalan Teuku Umar 1875126 Kota Samarinda;Medical Biology Analystical Laboratories
Bureau Veritas Indonesia;Wisma Bakrie 12920 Jakarta;Medical Biology Analystical Laboratories
Quantum Inti Akurasi;Cahaya Palmerah Building 911480 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Internasional Standar System;Jalan Puri Kencana 11610 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
TUV Rheinland Indonesia;Menara Karya 12950 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Lppom Mui;Gedung Majelis Ulama Indonesia 5110320 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Bspji Samarinda;Jl. M.T. Haryono / Jl. Banggeris 175124 Kota Samarinda;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Equality Indonesia;Jl. Brigjen S Sudiarto 2550192 Kota Semarang;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
B4T;Jalan Sangkuriang 1440135 Kota Bandung;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Aja Sertifikasi Indonesia;Jalan Majapahit 1010160 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
RS Mitra Keluarga Kemayoran;Jalan Landas Pacu Timur 10610 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Brayan;Jl. Thamrin 7220212 Obi Timur  - Sum;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Elmes Epsilon;Jl. Warung Buncit 4012510 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
TUV Rheinland Indonesia;Gedung Citibank 20111 Obi Timur  - Sum;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Geotama Triniti;Jl Pengadegan Brt Iii 1912770 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Asia Global Servis;Kota Kasablanka Level 12870 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Tanla Tescor Welindo;Jalan Industri Selatan 1117550 Kota Bekasi;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Garuda Mas Jaya;Jalan Pedongkelan Belakang 911720 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
CCIC Jakarta;Menara Citicon 11410 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
UPT Psmb - Lt Jember;Jalan Kalimantan 168121 Klaten  - Kabupaten;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Kalgen Innolab;Altira Business Park 14350 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Ecostar Laboratories;Jalan Imam Bonjol 1115810 Kota Tangerang;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Bali Seafood Lab (Basil);Istana Regency Commercial Site 80222 Dompu  - Bali;Medical Biology Analystical Laboratories
Sae Mitra Sejati;Jl. Kayumanis - AMD 2813530 Jakarta;Medical Biology Analystical Laboratories
Balai Pengujian Dan Identifikasi Barang Surabaya;Jalan Perak Timur 49860165 Kota Surabaya;Medical Biology Analystical Laboratories
Toyo Lab Indonesia;Jalan Poin Mas 216434 Depok;Medical Biology Analystical Laboratories
Gem Report International;Jalan Batu Ceper 4 610130 Jakarta;Medical Biology Analystical Laboratories
Vanara Sena Solusindo;Jalan Manunggal 76114 Balikpapan;Medical Biology Analystical Laboratories
Balai Besar Uji Standar Karantina Pertanian;Jalan Pemuda Raya 6413220 Jakarta;Medical Biology Analystical Laboratories
Pananjung Anugrah Solution;Sunter Niaga Mas F1-26 117550 Cikarang Pusat  - Jayamukti;Medical Biology Analystical Laboratories
Central Energy Positive;Ruko Urbana Ground Floor 713740 Jakarta;Medical Biology Analystical Laboratories
Andalan Mutu Energi;Jalan Palem Raya 640286 Kota Bandung;Medical Biology Analystical Laboratories
Vertex Global Indonesia;Komplek Buana Permai 6815141 Kota Tangerang;Medical Biology Analystical Laboratories
Kalibrasi Instrumentasi Mandiri;Kompleks Green Garden 715143 Kota Tangerang Selatan;Medical Biology Analystical Laboratories
Balai Sertifikasi Industri;Jalan Cikini 4 1510350 Jakarta;Medical Biology Analystical Laboratories
SGS;The Garden Center 12560 Jakarta;Medical Biology Analystical Laboratories
Approvalindo;Perumahan Griya Indah Serpong 16340 Kota Bogor;Medical Biology Analystical Laboratories
Integra Hutama Indonesia;Jalan Soka 80237 Dompu  - Bali;Medical Biology Analystical Laboratories
DQS Certification Indonesia;Gedung Aldevco II 7512510 Jakarta;Medical Biology Analystical Laboratories
SGS Jakarta Liaison Office;Jalan Menteng 2910340 Jakarta;Medical Biology Analystical Laboratories
Indonesian Research Center For Veterinary Science;Jalan RE Martadinata 3016126 Kota Bogor;Medical Biology Analystical Laboratories
Telematics Laboratories Electrical Engineering;Jalan Ganeca 1040132 Bandung;Medical Biology Analystical Laboratories
