name;address;sector
Assa’Adah Medical Centre;Jl. Tebet Timur Dalam 5812820 Jakarta;Medical Clinics
Dr. Yanti Aesthetic Clinic;Jalan Boulevard Barat 14240 Jakarta;Medical Clinics
Klinik Peduli Sehat;Jalan Adinegoro 1025173 Kota Padang;Medical Clinics
Miracle Aesthetic Clinic;Graha Miracle 4060264 Kota Surabaya;Medical Clinics
Klinik Bahagia;Jalan Pandu 9357438 Klaten  - Kabupaten;Medical Clinics
Klinik Dr. Sanders B;Jalan Teuku Umar 1917520 Kota Bekasi;Medical Clinics
Apotek Kimia Farma 112;Jalan Diponegoro 873111 Palangkaraya  - Palangka;Medical Clinics
Klinik Dr. Nancy;Jl. Raya Setu Mustika Jaya 17145 Klaten  - Kabupaten;Medical Clinics
Beart Korean Skin Clinic;Jalan Pluit Putera 1814450 Jakarta;Medical Clinics
Klinik Mitra Medika Abadi;Jl. Kapt. Mitra Hanafiah 341253 Klaten  - Kabupaten;Medical Clinics
Rejuva Dental & Dermatology;Jl. Mayjend Sungkono 60189 Kota Surabaya;Medical Clinics
Klinik Estetika;Jalan Dr Muwardi 1157141 Laweyan  - Bumi;Medical Clinics
Resman;Jalan Residen Sudirman 2560131 Kota Surabaya;Medical Clinics
Kusuma Medical Center;Jalan Mayjend Sutoyo 3876113 Balikpapan;Medical Clinics
Diandra Clinic;Plaza Graha Famili D 60228 Kota Surabaya;Medical Clinics
Natasha - Skin Care;Jalan Urip Sumoharjo 6555222 Kota Yogyakarta;Medical Clinics
Weren Mulia Estetika;Jalan Pluit Karang Permai 14450 Jakarta;Medical Clinics
Klinik Monhal Persada;Jalan Serang 2315133 Kota Tangerang;Medical Clinics
Muhana Sano Esensi;Jalan Wolter Mongonsidi 4050112 Kota Semarang;Medical Clinics
Toya Medika Clinic;Jalan Raya Pengosekan 80571 Dompu  - Bali;Medical Clinics
Vit Profesional Indosehat;Kalibata City Tower Sakura Unit S/Gf Kl. 1 Jakarta;Medical Clinics
Klinik Rafael;Jl. Plampitan 3350519 Klaten  - Kabupaten;Medical Clinics
Bio Karya Sejahtera;Jl. Gunung Latimojong  Jakarta Timur  - Makasar;Medical Clinics
Klinik Anak Cerdas Ceria;Jl. Letjen Suprapto 8957156 Surakarta;Medical Clinics
Revital Clinic;Jalan Lengkong Kecil 1440261 Klaten  - Kabupaten;Medical Clinics
