name;address;sector
Alkin Global;Jalan Pasteur 1540131 Kota Bandung;Medical Laboratories
Alfa Kimia Biomedikatama;Jalan C Simanjuntak GK 5 1255223 Kota Yogyakarta;Medical Laboratories
Gunung Sahari Group;A3 Jl. Gunung Sahari Raya 5110610 Jakarta;Medical Laboratories
PT.Multidaya Medika;Kompleks Rukan Niaga Gunung Sahari 710720 Jakarta;Medical Laboratories
Pembina Ilmu;Jalan Durian 380231 Dompu  - Bali;Medical Laboratories
Andalan Prima Sejahtera CV;Jalan Letnan Jenderal Jamin Ginting 620141 Obi Timur  - Sum;Medical Laboratories
Indotest Multi Laboratama;Komp. 20340223 Kota Bandung;Medical Laboratories
Dipa Puspa Labsains;Jalan Kebon Jeruk Baru 6611530 Jakarta;Medical Laboratories
Pudak Scientific;Jalan Pudak 440113 Kota Bandung;Medical Laboratories
Pathlab Indonesia;Jalan Sutomo 17220213 Medan Kota;Medical Laboratories
Thermalindo Sarana Laboratoria;Jl. H. Abdul Wahab Siamin 60225 Kota Surabaya;Medical Laboratories
Intertek;Jalan Cikini 4 210350 Jakarta;Medical Laboratories
Sumber Aneka Karya Abadi;Jl. Jababeka Vii A 17530 Klaten  - Kabupaten;Medical Laboratories
Alam Putra Sakti;Cempaka Mas 110640 Jakarta;Medical Laboratories
Hi-Test;Century Park 629461 Riau Islands;Medical Laboratories
Cahayatiara Mustika Scientific Indone;Jl. Jababeka Ix  Kota Bekasi;Medical Laboratories
Multilab Adisurya Mandiri;Jalan Tanjung Selor 711440 Jakarta;Medical Laboratories
Klinik Prodia;Jl. Tgh. H.M Daud Beureuh 17423242 Kota Banda Aceh;Medical Laboratories
Sentra Biosains Dinamika;Jalan Letnan Jenderal Suprapto 10640 Jakarta;Medical Laboratories
Alfa Kimia;Jalan C Simanjuntak GK 5 1255223 Kota Yogyakarta;Medical Laboratories
Sembada Graha Persada;Jalan Brojolamatan 32655283 Kota Yogyakarta;Medical Laboratories
