name;address;sector
International Wellbeing Center;The City Walk 312160 Dharmawangsa Square;Physicians: Public Health
PT CENTURY FRANCHISINDO UTAMA;Jalan Limo 612220 Jakarta Selatan;Physicians: Public Health
Ekamita Arahtegar;Jalan Raya Bukit Gading Villa 14240 Jakarta;Physicians: Public Health
Rumah Sakit Ketergantungan Obat;Jalan Lapangan Tembak 7513720 Jakarta;Physicians: Public Health
Kasandra & Associates;Jalan Kramat Pulo 21010330 Jakarta;Physicians: Public Health
Protech Power Flow;Wisma Windu 11420 Jakarta;Physicians: Public Health
Asia Afrika Dental;Jalan Asia Afrika 15740112 Klaten  - Kabupaten;Physicians: Public Health
Amethyst Skin Clinic;Jalan Sukomanunggal Jaya 60187 Kota Surabaya;Physicians: Public Health
New Diva PT Diva Sumber Berkat DSB;Jalan Ahmad Jazuli 1555224 Kota Yogyakarta;Physicians: Public Health
Bio Karya Sejahtera;Jl. Gunung Latimojong  Jakarta Timur  - Makasar;Physicians: Public Health
Praktek Drg. Merita Ariestya Yudi;Jalan Doktor Sutomo 557451 Klaten  - Kabupaten;Physicians: Public Health
Dinas Kesehatan Provinsi Jawa Barat;Jalan Pasteur 2540171 Kota Bandung;Physicians: Public Health
RS MMC;RS Mmc 12940 Jakarta;Physicians: Public Health
Sinalsal Marbungaran Farma;Jl. Doktor Wahidin Sudirohusodo 8 Kota Pontianak;Physicians: Public Health
Dinas Kesehatan Kota Bandung;Jalan Suparman 7357436 Klaten  - Kabupaten;Physicians: Public Health
Rumah Sakit Muhammadiyah Selogiri Wng;Jl. Lama Nambangan Selogiri 57652 Klaten  - Kabupaten;Physicians: Public Health
Buwana Artha Nusantara;Jalan T 2712820 Jakarta;Physicians: Public Health
Klinik Gustavvet;Jl. Raya Kebayoran Lama 711540 Jakarta;Physicians: Public Health
Optik Sekar, Apotek & Praktek Bersama Dr. Spesialis;Jalan Diponegoro 13584218 Dompu  - Bali;Physicians: Public Health
Essity Hygiene And Health Indonesia;BSD Green Office Park 642527 Klaten  - Kabupaten;Physicians: Public Health
Stephanie Dental Clinic;Menara Duta 12920 Jakarta;Physicians: Occupational Medicine
Austindo Nusantara Jaya Healthcare;Jl. Arjuna Utara 5011510 Jakarta;Physicians: Occupational Medicine
Rumah Sunatan Indonesia;Jl. KH Agus Salim 5017112 Kota Bekasi;Physicians: Occupational Medicine
Neolab Prima Indonesia;Jalan Kyai Haji Hasyim Ashari 12510150 Jakarta;Physicians: Occupational Medicine
Bintaro Dental Center;Jalan Bintaro Utama 5 415224 Kota Tangerang Selatan;Physicians: Occupational Medicine
Klinik Penta Medika;Jl. Teuku Umar Barat 8880233 Dompu  - Bali;Physicians: Occupational Medicine
International Wellbeing Center;Dharmawangsa Square 336337 Jakarta;Physicians: Occupational Medicine
Akademi Kebidanan Harapan Ibu Pekalongan;Jalan Sriwijaya 751114 Pekalongan;Physicians: Occupational Medicine
PT Cobra Dental Indonesia;Jalan Pakuningratan 6955231 Yogyakarta;Physicians: Occupational Medicine
Dinas Kesehatan Provinsi Jawa Timur;Jalan Jenderal Ahmad Yani 11860231 Kota Surabaya;Physicians: Occupational Medicine
Sahabat Gigi Sehat Indonesia;Jl. Dewa Ruci  Klaten  - Kabupaten;Physicians: Occupational Medicine
Saba Indomedika;Ruko Kedoya Elok 711520 Jakarta;Physicians: Occupational Medicine
Dinas Kesehatan Provinsi Kepulauan Bangka Belitung;Jalan Pulau Bangka 33684 Kota Pangkal Pinang;Physicians: Occupational Medicine
Bhumi Warih Geohydromatics;Jalan Biologi 2040191 Kota Bandung;Physicians: Occupational Medicine
Apotik Griya Agung;Jl. Danau Toba E 1 Kota Malang;Physicians: Occupational Medicine
Dinas Kesehatan Kota Yogyakarta;Jalan Kenari 5655165 Kota Yogyakarta;Physicians: Occupational Medicine
Melati Dental Clinic;Wisma 46 Kota BNI 3Rd Floor 10220 Jakarta;Physicians: Occupational Medicine
Obagi Indonesia;Jalan Gg 4510460 Jakarta;Physicians: Occupational Medicine
Dinas Kesehatan Bali;Jalan Melati 2080233 Dompu  - Bali;Physicians: Occupational Medicine
Puskesmas Klaten Selatan;Jalan Tegal Danguran 57425 Klaten  - Kabupaten;Physicians: Occupational Medicine
Genteng Toko;Jl. Gunung Bulusaraung 1890174 Jakarta Timur  - Makasar;Physicians: Occupational Medicine
Rumah Sakit Umum Mandaya;Jalan Akses Tol Karawang Barat 41361 Klaten  - Kabupaten;Physicians: Occupational Medicine
Apotek Kimia Farma;Jl. Dr. Wahidin Selatan 5967173 Klaten  - Kabupaten;Physicians: Occupational Medicine
